 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Carbon Composite.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.5000E+00 g/cm3 = 9.3466E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    022.62    002.36   
      C      6    073.81    091.73   
      O      8    003.57    005.91   
 ====================================
 Bragg Correction = -3.61%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  22.50 MeV   2.195E-02  1.026E-05    3.78 mm   160.28 um    98.34 um  
  25.00 MeV   2.015E-02  9.324E-06    4.57 mm   196.93 um   118.33 um  
  27.50 MeV   1.864E-02  8.550E-06    5.43 mm   232.91 um   139.93 um  
  30.00 MeV   1.737E-02  7.899E-06    6.35 mm   268.80 um   163.09 um  
  32.50 MeV   1.628E-02  7.344E-06    7.34 mm   304.86 um   187.77 um  
  35.00 MeV   1.533E-02  6.864E-06    8.40 mm   341.27 um   213.95 um  
  37.50 MeV   1.450E-02  6.445E-06    9.51 mm   378.11 um   241.59 um  
  40.00 MeV   1.377E-02  6.077E-06   10.69 mm   415.43 um   270.66 um  
  45.00 MeV   1.253E-02  5.457E-06   13.22 mm   552.91 um   333.01 um  
  50.00 MeV   1.152E-02  4.956E-06   16.00 mm   682.17 um   400.79 um  
  55.00 MeV   1.068E-02  4.542E-06   19.00 mm   808.24 um   473.81 um  
  60.00 MeV   9.970E-03  4.194E-06   22.22 mm   933.28 um   551.88 um  
  65.00 MeV   9.364E-03  3.898E-06   25.67 mm     1.06 mm   634.86 um  
  70.00 MeV   8.839E-03  3.642E-06   29.33 mm     1.18 mm   722.58 um  
  80.00 MeV   7.973E-03  3.222E-06   37.26 mm     1.64 mm   911.73 um  
