 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Aluminum (dense).txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  5.4040E+00 g/cm3 = 1.2061E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 130.00 MeV   4.714E-03  1.659E-06   29.14 mm     1.24 mm     1.06 mm  
 140.00 MeV   4.477E-03  1.550E-06   33.16 mm     1.37 mm     1.20 mm  
 150.00 MeV   4.269E-03  1.456E-06   37.38 mm     1.51 mm     1.35 mm  
 160.00 MeV   4.087E-03  1.372E-06   41.80 mm     1.65 mm     1.50 mm  
 170.00 MeV   3.925E-03  1.298E-06   46.41 mm     1.79 mm     1.66 mm  
 180.00 MeV   3.780E-03  1.232E-06   51.20 mm     1.93 mm     1.82 mm  
 200.00 MeV   3.532E-03  1.118E-06   61.31 mm     2.43 mm     2.16 mm  
 225.00 MeV   3.282E-03  1.004E-06   74.87 mm     3.12 mm     2.61 mm  
 250.00 MeV   3.080E-03  9.110E-07   89.39 mm     3.77 mm     3.08 mm  
 275.00 MeV   2.915E-03  8.345E-07  104.79 mm     4.39 mm     3.58 mm  
 300.00 MeV   2.776E-03  7.703E-07  121.02 mm     4.99 mm     4.09 mm  
 325.00 MeV   2.659E-03  7.156E-07  138.01 mm     5.58 mm     4.63 mm  
 350.00 MeV   2.558E-03  6.684E-07  155.71 mm     6.16 mm     5.17 mm  
 375.00 MeV   2.471E-03  6.272E-07  174.07 mm     6.72 mm     5.74 mm  
 400.00 MeV   2.395E-03  5.910E-07  193.05 mm     7.28 mm     6.31 mm  
 450.00 MeV   2.269E-03  5.301E-07  232.66 mm     9.26 mm     7.49 mm  
 500.00 MeV   2.169E-03  4.810E-07  274.29 mm    11.05 mm     8.69 mm  
 550.00 MeV   2.088E-03  4.404E-07  317.68 mm    12.72 mm     9.93 mm  
 600.00 MeV   2.022E-03  4.064E-07  362.63 mm    14.30 mm    11.17 mm  
 650.00 MeV   1.967E-03  3.774E-07  408.95 mm    15.81 mm    12.44 mm  
 700.00 MeV   1.920E-03  3.524E-07  456.48 mm    17.26 mm    13.70 mm  
 800.00 MeV   1.847E-03  3.114E-07  554.60 mm    22.29 mm    16.25 mm  
 900.00 MeV   1.793E-03  2.792E-07  656.15 mm    26.65 mm    18.79 mm  
   1.00 GeV   1.752E-03  2.532E-07  760.44 mm    30.59 mm    21.31 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  5.4038E+01                 eV / Angstrom 
  5.4038E+02                keV / micron   
  5.4038E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  4.4804E+01                 eV / (1E15 atoms/cm2)
  2.8899E+01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
